make,make_slug,country,model,nickname,generation,slug,year_from,year_to,years,body_style,is_popular,popular_order,image,page_url,description
Haval,haval,China,H6,Haval H6 (2021–Present),,haval-h6-2021-present,2021,2026,"2026,2025,2024,2023,2022,2021",SUV,yes,8,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/haval-H6.png?v=1773854230,https://crazzycars.pk/cars/haval-h6-2021-present,"Upgrade your Haval H6 with premium accessories in Pakistan — exterior styling, interior trims & LED upgrades. COD nationwide."
Honda,honda,Japan,Civic,Reborn,Reborn,honda-civic-reborn-2006-2012,2006,2012,"2012,2011,2010,2009,2008,2007,2006",Sedan,yes,3,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/reborn.jpg?v=1771878076,https://crazzycars.pk/cars/honda-civic-reborn-2006-2012,"Shop Honda Civic Reborn 2006-2012 accessories in Pakistan — body kits, spoilers, LED lights, interior trims & more. Cash on Delivery nationwide."
Honda,honda,Japan,Civic,Rebirth,Rebirth,honda-civic-rebirth-2012-2016,2012,2016,"2016,2015,2014,2013,2012",Sedan,yes,4,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/rebirth.jpg?v=1771878231,https://crazzycars.pk/cars/honda-civic-rebirth-2012-2016,"Premium Honda Civic Rebirth 2012-2016 accessories in Pakistan — body kits, splitters, side skirts, LED upgrades. COD all over Pakistan."
Honda,honda,Japan,Civic,Civic X,Civic X,honda-civic-x-2016-2021,2016,2021,"2021,2020,2019,2018,2017,2016",Sedan,yes,5,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/2020-honda-civic-sport-manual-angular-front-exterior-view_100751892_l_9ea4bb02-a752-48b4-8be7-1e7dbbce139a.jpg?v=1773854472,https://crazzycars.pk/cars/honda-civic-x-2016-2021,"Shop Honda Civic X 2016-2021 accessories in Pakistan — body kits, splitters, spoilers, quarter window louvers & LED lights. Cash on Delivery."
Honda,honda,Japan,Civic,11th Gen,11th Gen,honda-civic-11th-gen-2022-present,2022,2026,"2026,2025,2024,2023,2022",Sedan,yes,6,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/civic-11th-cover.jpg?v=1773685986,https://crazzycars.pk/cars/honda-civic-11th-gen-2022-present,"Upgrade your Honda Civic 11th Gen 2022-Present — body kits, carbon fiber trims, LED upgrades & interior accessories. COD nationwide in Pakistan."
Suzuki,suzuki,Japan,Alto,Suzuki Alto (2020–Present),,suzuki-alto-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",Hatchback,yes,7,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/Alto-Solid-White-720x466.webp?v=1773855226,https://crazzycars.pk/cars/suzuki-alto-2020-present,"Shop Suzuki Alto 2020-Present accessories in Pakistan — Audi-style indicators, LED lights, interior & exterior upgrades. Cash on Delivery."
Toyota,toyota,Japan,Corolla,E140,E140,toyota-corolla-e140-2009-2014,2009,2014,"2014,2013,2012,2011,2010,2009",Sedan,yes,1,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/e140.webp?v=1773855360,https://crazzycars.pk/cars/toyota-corolla-e140-2009-2014,"Shop Toyota Corolla E140 2009-2014 accessories in Pakistan — body kits, splitters, LED lights, carbon fiber trims & more. Cash on Delivery nationwide."
Toyota,toyota,Japan,Corolla,E170–E210,E170–E210,toyota-corolla-e170-2014-2026,2014,2026,"2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014",Sedan,yes,2,https://cdn.shopify.com/s/files/1/0651/9560/6075/collections/1.8-white-scaled.jpg?v=1773852593,https://crazzycars.pk/cars/toyota-corolla-e170-2014-2026,"Premium Toyota Corolla E170/E210 2014-2026 accessories in Pakistan — Grande body kits, side mirror covers, window louvers, LED upgrades. COD available."
BAIC,baic,China,BJ40,BAIC BJ40 (2020–2026),,baic-bj40-2020-present,2020,2026,"2026,2025,2024,2023,2022,2021,2020",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785959846/storecraft/storecraft/cars/models/pku8pw2yco1uctkqeew5.webp,https://crazzycars.pk/cars/baic-bj40-2020-present,Shop BAIC BJ40 accessories in Pakistan. Cash on Delivery.
BYD,byd,China,Atto 3,BYD Atto 3 (2025–present),,byd-atto3-2025-present,2025,2026,"2026,2025",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572323/storecraft/storecraft/cars/models/byd-byd-atto3-2025-present-msqn15ff.webp,https://crazzycars.pk/cars/byd-atto3-2025-present,Shop BYD Atto 3 accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
BYD,byd,China,Shark 6,BYD Shark 6 (2025–present),,byd-shark6-2025-present,2025,2026,"2026,2025",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572351/storecraft/storecraft/cars/models/byd-byd-shark6-2025-present-msqn1qqd.webp,https://crazzycars.pk/cars/byd-shark6-2025-present,Shop BYD Shark 6 accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Changan,changan,China,Alsvin,Changan Alsvin (2021–present),,changan-alsvin-2021-present,2021,2026,"2026,2025,2024,2023,2022,2021",Sedan,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572222/storecraft/storecraft/cars/models/changan-changan-alsvin-2021-present-msqmz0dm.webp,https://crazzycars.pk/cars/changan-alsvin-2021-present,Shop Changan Alsvin accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Changan,changan,China,Oshan X7,Changan Oshan X7 (2022–present),,changan-oshanx7-2022-present,2022,2026,"2026,2025,2024,2023,2022",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572248/storecraft/storecraft/cars/models/changan-changan-oshanx7-2022-present-msqmzk0z.webp,https://crazzycars.pk/cars/changan-oshanx7-2022-present,Shop Changan Oshan X7 accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
Chery,chery,China,Tiggo 4 Pro,Chery Tiggo 4 Pro (2022–2026),,chery-tiggo4pro-2022-present,2022,2026,"2026,2025,2024,2023,2022",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1785959901/storecraft/storecraft/cars/models/f705zh5ejljt7qv1rxre.webp,https://crazzycars.pk/cars/chery-tiggo4pro-2022-present,Shop Chery Tiggo 4 Pro accessories in Pakistan. Cash on Delivery.
Chery,chery,China,Tiggo 8 Pro,Chery Tiggo 8 Pro (2022–present),,chery-tiggo8pro-2022-present,2022,2026,"2026,2025,2024,2023,2022",SUV,no,,https://res.cloudinary.com/dquier8fv/image/upload/v1786572380/storecraft/storecraft/cars/models/chery-chery-tiggo8pro-2022-present-msqn2doy.webp,https://crazzycars.pk/cars/chery-tiggo8pro-2022-present,Shop Chery Tiggo 8 Pro accessories in Pakistan at CrazzyCars.pk — Cash on Delivery nationwide.
