slug,name,articleNo,material,dimensions,weight,pieceCount,fixingMethod,paintStatus,finish,installationDifficulty,installationTimeMinutes,warrantyDays,powerDraw,voltage,fitment_universal,fitment_note,does_not_fit,fits
2-pcs-set-alto-660cc-audi-style-side-fender-indicator-in-smoke-color,2 Pcs Set Alto 660cc Audi Style Side Fender Indicator in Smoke Color,CC-0023,,,,,,,,,,,,,,,,
2pcs-front-bumper-lip-splitter-chin-spoiler-for-honda-civic-11th-gen-2022-2026-gloss-black,Honda Civic 11th Gen 2022-2026 Front Bumper Lip Splitter,CC-0139,,,,,,,,,,,,,,,,
3-color-switchback-fog-led-light-with-flasher-h11-white-yellow-blue-2-pcs,4-Color Switchback Fog LED Light H11 2PCS,CC-FG-3CLR-H11,,,,,,,,,,,,,,,,
4-in-1-45w-fast-car-charger-usb-type-c-built-in-ios-android-cable,4-in-1 45W Fast Car Charger USB Type-C,CC-0181,,,,,,,,,,,,,,,,
air-compressor-dual-cylinder-full-kit-with-box-auto-inflator-pump,Air Compressor Dual Cylinder Full Kit With Box Auto Inflator Pump,CC-UNI-142,,,,,,,,,,,,,,,,
audi-a4-premium-metal-key-cover,Audi A4 Premium Metal Key Cover,CC-KC-AUDIA4,,,,,,,,,,,,,,,,
audi-a5-premium-metal-key-cover,Audi A5 Premium Metal Key Cover,CC-KC-AUDIA5,,,,,,,,,,,,,,,,
baic-bj40-premium-metal-key-cover,BAIC BJ40 Premium Metal Key Cover,CC-KC-BAICBJ40,,,,,,,,,,,,,,,,
batman-style-side-mirror-cover-toyota-aqua-2012-present,Batman Style Side Mirror Cover – Toyota Aqua 2012-Present,CC-TAQ-EXT-SMC-CF,,,,,,,,,,,,,,,,
batman-style-side-mirror-cover-toyota-vitz-2010-present,Batman Style Side Mirror Cover – Toyota Vitz 2010-Present,CC-TVZ-EXT-SMC-CF,,,,,,,,,,,,,,,,
batman-style-side-mirror-cover-toyota-yaris-2020-2026,Batman Style Side Mirror Cover – Toyota Yaris 2020-2026,CC-TYR-EXT-SMC-CF,,,,,,,,,,,,,,,,
bright-led-indicator-bulbs-2-pcs,Bright LED Indicator Bulbs 2PCS – Universal,CC-UNI-LGT-IND-W40,,,,,,,,,,,,,,,,
byd-atto-3-2025-2026-tpe-floor-mats-premium,BYD Atto 3 2025-2026 TPE Floor Mats Premium,CC-INT-152,,,,,,,,,,,,,,,,
car-bonnet-hood-spacer-aluminum-2-pcs,Car Bonnet Hood Spacer Aluminum Lift Kit 2PCS,CC-0195,,,,,,,,,,,,,,,,
car-brembo-style-brake-caliper-covers-universal-fit,Brembo Style Brake Caliper Covers – Universal Fit,CC-UNI-EXT-BCC-RD,,,,,,,,,,,,,,,,
car-dashboard-ambient-light-strip-premium-2pcs,Car Dashboard Ambient Light Strip 2PCS,CC-0211,,,,,,,,,,,,,,,,
car-decoration-solar-powered-aeroplane,Solar Powered Aeroplane Car Dashboard Decoration,CC-0193,,,,,,,,,,,,,,,,
car-front-bumper-splitter-abs-plastic-3pcs,Batman Style Front Bumper Splitter ABS 3PCS,CC-0203,,,,,,,,,,,,,,,,
car-front-bumper-splitter-abs-plastic-4pcs,Universal Front Bumper Splitter ABS Plastic 4PCS,CC-UNI-EXT-FBL-4PC-BK,,,,,,,,,,,,,,,,
car-grill-white-flashers-strobe-led-4pcs,"Car Grill White Flashers, Strobe light - 4X4  4 PCs",CC-0208,,,,,,,,,,,,,,,,
car-heads-up-display-hud,Universal Heads Up Display HUD Car Speed Projector,CC-0144,,,,,,,,,,,,,,,,
car-interior-ambient-lights-5-point-dashboard-doors,Car Interior Ambient Lights 5 Point Dashboard + Doors,CC-0210,,,,,,,,,,,,,,,,
car-modified-stainless-steel-exhaust-tip,Stainless Steel Exhaust Tip – Universal Car Fit,CC-UNI-EXT-EXT-A1,,,,,,,,,,,,,,,,
car-rear-bumper-splitter-cut-style-universal,Car Rear Bumper Splitter Cut Style Universal Lip,CC-0204,,,,,,,,,,,,,,,,
car-rear-bumper-splitter-simple-universal,Car Rear Bumper Splitter Simple Universal Rear Lip,CC-0206,,,,,,,,,,,,,,,,
car-rgb-atmosphere-light-interior-footwell-led-lights-4-pcs,Car RGB Atmosphere Light – Interior Footwell LED Lights 4 PCS,CC-UNI-LGT-RGB-APP,,,,,,,,,,,,,,,,
car-side-splitter-abs-plastic-4pcs,Gloss Black Side Skirts ABS Plastic 4PCS,CC-0205,,,,,,,,,,,,,,,,
carbon-fiber-dashboard-trim-for-honda-civic-11th-gen-2022-2026,Honda Civic 11th Gen 2022–2026 Carbon Fiber Dashboard Trim,CC-0141,,,,,,,,,,,,,,,,
carbon-fiber-door-handle-covers-for-hyundai-elantra-2020-2024-cn7-4pcs,Hyundai Elantra 2020-2024 Carbon Fiber Door Handle Covers 4PCS CN7,CC-0136,,,,,,,,,,,,,,,,
carbon-fiber-door-handle-covers-for-hyundai-sonata-2020-2024-dn8-4pcs,Hyundai Sonata 2020-2024 Carbon Door Handle Covers 4PCS,CC-0132,,,,,,,,,,,,,,,,
carbon-fiber-door-handle-covers-hyundai-elantra-hybrid-2025-present-4pcs,Hyundai Elantra Hybrid 2025-Present Carbon Fiber Door Handle Covers 4PCS,CC-0134,,,,,,,,,,,,,,,,
carbon-fiber-gear-shift-console-trim-for-toyota-corolla-2014-2018-e170,Toyota Corolla 2014-2018 Carbon Gear Shift Console Trim,CC-0138,,,,,,,,,,,,,,,,
carbon-fiber-hand-stitched-steering-wheel-cover,Carbon Fiber Hand Stitched Steering Wheel Cover – Universal Fit,CC-0200,,,,,,,,,,,,,,,,
carbon-fiber-side-air-flow-vents-fender-trim,Carbon Fiber Side Air Flow Fender Vents Trim Pair,CC-0123,,,,,,,,,,,,,,,,
carbon-fiber-side-mirror-cover-hyundai-elantra-2020-2024,Hyundai Elantra 2020-2024 Carbon Fiber Side Mirror Cover CN7,CC-0137,,,,,,,,,,,,,,,,
carbon-fiber-side-mirror-cover-hyundai-elantra-hybrid-2025-present,Carbon Fiber Side Mirror Cover for Hyundai Elantra Hybrid 2025-Present,CC-0135,,,,,,,,,,,,,,,,
